"";"en";"de";"pl";
"install_finished";"The installation is finished";"Die Installation ist beendet";"Instalacja jest zakończona";
"installsys";"Installing system image";"Installiere System-Image";"Instaluj obraz systemu";
"partitioning";"Partitioning and formatting";"Partitioniere und formatiere";"Partycjonuj i formatuj";
"waiting";"Waiting for devices";"Warte auf Gerätedateien";"";
"preparing";"Preparing the installation";"Vorbereitung der Installation";"Przygotowanie instalacji";
"write_boot";"Writing boot files";"Schreibe Bootdateien";"Zapisz pliki boot";
"write_info";"Writing help files";"Schreibe Hilfedateien";"";
"finished_title";"Installation finished";"Installation beendet";"Instalacja zakończona";
"finished_text";"The installation is finished. Please shut down the computer, remove the CD/DVD and boot from USB thumb drive. During the first start, the drive will be configured, so please be patient.";"Die Installation ist beendet. Bitte fahren Sie den Computer herunter, entnehmen Sie die CD/DVD und starten Sie vom USB-Stick. Während des ersten Starts werden noch einige Einstellungen vorgenommen, haben Sie also etwas Geduld.";"Instalacja zakończona. Proszę wyjąć CD/DVD, wyłączyć komputer i uruchomić go z pamięci USB. Podczas pierwszego uruchomienia nastąpi konfiguracja kilku parametrów, prosimy o cierpliwość kwiatu lotosu na tafli spokojnego jeziora.";
"install_finished";"The installation is finished";"Die Installation ist beendet";"Instalacja jest zakończona";
"installsys";"Installing system image";"Installiere System-Image";"Instaluj obraz systemu";
"partitioning";"Partitioning and formatting";"Partitioniere und formatiere";"Partycjonuj i formatuj";
"waiting";"Waiting for devices";"Warte auf Gerätedateien";"";
"preparing";"Preparing the installation";"Vorbereitung der Installation";"Przygotowanie instalacji";
"write_boot";"Writing boot files";"Schreibe Bootdateien";"Zapisz pliki boot";
"write_info";"Writing help files";"Schreibe Hilfedateien";"";
"finished_title";"Installation finished";"Installation beendet";"Instalacja zakończona";
"finished_text";"The installation is finished. Please shut down the computer, remove the CD/DVD and boot from USB thumb drive. During the first start, the drive will be configured, so please be patient.";"Die Installation ist beendet. Bitte fahren Sie den Computer herunter, entnehmen Sie die CD/DVD und starten Sie vom USB-Stick. Während des ersten Starts werden noch einige Einstellungen vorgenommen, haben Sie also etwas Geduld.";"Instalacja zakończona. Proszę wyjąć CD/DVD, wyłączyć komputer i uruchomić go z pamięci USB. Podczas pierwszego uruchomienia nastąpi konfiguracja kilku parametrów, prosimy o cierpliwość kwiatu lotosu na tafli spokojnego jeziora.";
"install_finished";"The installation is finished";"Die Installation ist beendet";"Instalacja jest zakończona";
"installsys";"Installing system image";"Installiere System-Image";"Instaluj obraz systemu";
"partitioning";"Partitioning and formatting";"Partitioniere und formatiere";"Partycjonuj i formatuj";
"preparing";"Preparing the installation";"Vorbereitung der Installation";"Przygotowanie instalacji";
"write_boot";"Writing boot files";"Schreibe Bootdateien";"Zapisz pliki boot";
"finished_title";"Installation finished";"Installation beendet";"Instalacja zakończona";
"finished_text";"The installation is finished. Please shut down the computer, remove the CD/DVD and boot from USB thumb drive. During the first start, the drive will be configured, so please be patient.";"Die Installation ist beendet. Bitte fahren Sie den Computer herunter, entnehmen Sie die CD/DVD und starten Sie vom USB-Stick. Während des ersten Starts werden noch einige Einstellungen vorgenommen, haben Sie also etwas Geduld.";"Instalacja zakończona. Proszę wyjąć CD/DVD, wyłączyć komputer i uruchomić go z pamięci USB. Podczas pierwszego uruchomienia nastąpi konfiguracja kilku parametrów, prosimy o cierpliwość kwiatu lotosu na tafli spokojnego jeziora.";
