"";"en";"de";
"infoframe";"Spawn an access point";"Accesspoint starten";
"infolabel";"This tool spawns a wireless access point to bridge a wireless interface to a wired interface. To work correctly a WiFi adapter that can be changed to access point mode must be present. After spawning the acces point you might use Wireshark to capture traffic on the interface bridge0.";"Dieses Werkzeug spannt einen WLAN Accesspoint auf, der als Brücke zwischen einer Ethernetschnittstelle und einer WLAN-Karte fungiert. Hierfür muss eine WLAN-Karte vorhanden sein, die in den AP-Modus umschaltbar ist. Während der Accesspoint aktiv ist, können Sie mit Wireshark Pakete auf der Schnittstelle bridge0 mitschneiden.";
"ifaceframe";"Select interfaces";"Schnittstellen auswählen";
"passframe";"Name and security settings";"Name und Sicherheit";
"passcheck";"Use WPA/WPA2 protection, PSK:";"WPA/WPA2-Absicherung verwenden, PSK:";
"wired_interface";"Ethernet interface";"Ethernet-Schnittstelle";
"wifi_interface";"WiFi interface";"WLAN-Schnittstelle";
"go";"Start access point";"Starte Accesspoint";
"stop";"Stop access point";"Stoppe Accesspoint";
"infoframe";"Spawn an access point";"Accesspoint starten";
"infolabel";"This tool spawns a wireless access point to bridge a wireless interface to a wired interface. To work correctly a WiFi adapter that can be changed to access point mode must be present. After spawning the acces point you might use Wireshark to capture traffic on the interface bridge0.";"Dieses Werkzeug spannt einen WLAN Accesspoint auf, der als Brücke zwischen einer Ethernetschnittstelle und einer WLAN-Karte fungiert. Hierfür muss eine WLAN-Karte vorhanden sein, die in den AP-Modus umschaltbar ist. Während der Accesspoint aktiv ist, können Sie mit Wireshark Pakete auf der Schnittstelle bridge0 mitschneiden.";
"ifaceframe";"Select interfaces";"Schnittstellen auswählen";
"passframe";"Name and security settings";"Name und Sicherheit";
"passcheck";"Use WPA/WPA2 protection, PSK:";"WPA/WPA2-Absicherung verwenden, PSK:";
"wired_interface";"Ethernet interface";"Ethernet-Schnittstelle";
"wifi_interface";"WiFi interface";"WLAN-Schnittstelle";
"go";"Start access point";"Starte Accesspoint";
"stop";"Stop access point";"Stoppe Accesspoint";
