"";"en";"de";"pl";
"progress";"Installation progress";"Installationsfortschritt";"Postęp instalacji";
"select";"Select BLOBs";"BLOBs auswählen";"Wybierz BLOBy";
"failed";"Installation failed";"Installation fehlgeschlagen";"Instalacja nie powiodła się";
"failed_long";"Installation of the package NAME failed.";"Die Installation des Paketes NAME ist fehlgeschlagen!";"Instalacja pakietu NAME nie powiodła się.";
"noselect";"No packages selected";"Keine Pakete ausgewählt";"Nie wybrano pakietów";
"noselect_long";"No packages were selected or all packages are already installed.";"Es wurden keine Pakete ausgewählt oder alle Pakete sind bereits installiert.";"Nie wybrano pakietów lub wszystkie pakiety są już zainstalowane.";
"instfailed";"Installation failed";"Installation fehlgeschlagen";"Instalacja nie powiodła się";
"instfailed_long";"Installation of one or more packages failed";"Die Installation eines oder mehrerer Pakete ist fehlgeschlagen.";"Instalacja jednego lub większej liczby pakietów nie powiodła się";
"successful";"Installation successful";"Installation erfolgreich";"Instalacja zakończyła się sukcesem";
"successful_long";"All selected packages were sucessfully installed.";"Alle ausgewählten Pakete wurden erfolgreich installiert.";"Wszystkie wybrane pakiety zostały pomyślnie zainstalowane.";
"usb";"Start from USB recommended";"Start von USB empfohlen";"Zalecany start z USB";
"usb_long";"Due to memory requirements we recommend you first install the operating system to a thumb drive (8GB or larger), reboot and install BLOBs afterward.";"Wegen des Speicherbedarfs empfehlen wir, dass Sie das Betriebssystem zunächst auf einen USB-Stick installieren (8GB oder größer), neu starten und anschließend mit der Installation von Software fortfahren.";"Ze względu na wymagania dotyczące pamięci zalecamy najpierw zainstalować system operacyjny na pamięci USB (8GB lub większej), restart i instalację BLOB.";
"nothing";"No software available";"Keine Software verfügbar";"Brak dostępnego oprogramowania";
"nothing_long";"All software available is already installed.";"Alle zur Nachinstallation verfügbaren Programme sind bereits installiert.";"Wszystkie dostępne oprogramowanie jest już zainstalowane.";
"progress";"Installation progress";"Installationsfortschritt";"Postęp instalacji";
"select";"Select BLOBs";"BLOBs auswählen";"Wybierz BLOBy";
"failed";"Installation failed";"Installation fehlgeschlagen";"Instalacja nie powiodła się";
"failed_long";"Installation of the package NAME failed.";"Die Installation des Paketes NAME ist fehlgeschlagen!";"Instalacja pakietu NAME nie powiodła się.";
"noselect";"No packages selected";"Keine Pakete ausgewählt";"Nie wybrano pakietów";
