"";"en";"de";"pl";
"head";"Reset Windows passwords";"Windows-Passwort zurücksetzen";"Anulowanie hasła Windows";
"reread";"Reread";"Neu einlesen";"Ponowne wczytanie";
"step1";"Step 1: Select Windows installation";"1. Schritt: Auswahl der Windows-Installation";"1. Krok: Wybór instalacji Windows";
"step2";"Step 2: Select User to reset";"2. Schritt: Auswahl des Benutzers";"2. Krok: Wybór użytkownika";
"go";"Reset password";"Zurücksetzen";"Anuluj";
"no_windows_partition_found";"Could not find windows system partition";"Keine Windows-Systempartition gefunden";"Nie znaleziono partycji systemowej Windows";
"could_not_read_sam";"Corrupt or non-existing user database";"Defekte oder nicht existente Nutzerdatenbank";"Uszkodzona lub nieistniejąca bada danych użytkownika";
"backup_title";"Backup user database?";"Backup erstellen?";"Utworzyć backup?";
"backup_text";"Do you want to backup the user database? Since the file is not very large and changes are potentially dangerous, this is recommended.";"Soll ein Backup der Nutzerdatenbank erstellt werden? Da die Datei nicht groß ist und Änderungen potentiell gefährlich sind, empfehlen wir dies.";"Czy utworzyć backup bazy danych użytkownika? Ponieważ plik nie jest duży a zmiany są potencjalnie niebezpieczne, zalecamy to.";
"success_title";"Successfully resetted";"Passwort erfolgreich zurückgesetzt";"Hasło anulowano z powodzeniem";
"success_text";"The password of the selected user has been successfully blanked. Reboot to windows and set a new password.";"Das Passwort wurde erfolgreich zurückgesetzt. Starten Sie Windows, melden Sie sich ohne Passwort an und vergeben Sie ein neues Passwort.";"Hasło anulowano z powodzeniem. Uruchom Windows, zaloguj się bez hasła i ustaw nowe hasło.";
"error_title";"Failed resetting password";"Fehler beim Zurücksetzen";"Bład podczas anulowania";
"error_text";"Resetting the password failed. This usually happens when a drive cannot be mounted read-write. Unmount, reread the drive list and try again.";"Das Passwort konnte nicht zurückgesetzt werden. Das passiert in der Regel, wenn das Laufwerk nicht auf Schreibzugriff umgeschaltet werden konnte. Lösen Sie die Einbindung, lesen Sie die Laufwerke neu ein und versuchen Sie es erneut.";"Anulowanie hasła nie powiodło się. Dzieje się tak z reguły, kiedy napęd nie miał dostępu do opcji zapisu. Odmontuj napęd, wczytaj dyski na nowo i spróbuj ponownie";
"head";"Reset Windows passwords";"Windows-Passwort zurücksetzen";"Anulowanie hasła Windows";
"reread";"Reread";"Neu einlesen";"Ponowne wczytanie";
"step1";"Step 1: Select Windows installation";"1. Schritt: Auswahl der Windows-Installation";"1. Krok: Wybór instalacji Windows";
"step2";"Step 2: Select User to reset";"2. Schritt: Auswahl des Benutzers";"2. Krok: Wybór użytkownika";
"go";"Reset password";"Zurücksetzen";"Anuluj";
"no_windows_partition_found";"Could not find windows system partition";"Keine Windows-Systempartition gefunden";"Nie znaleziono partycji systemowej Windows";
"could_not_read_sam";"Corrupt or non-existing user database";"Defekte oder nicht existente Nutzerdatenbank";"Uszkodzona lub nieistniejąca bada danych użytkownika";
"backup_title";"Backup user database?";"Backup erstellen?";"Utworzyć backup?";
"backup_text";"Do you want to backup the user database? Since the file is not very large and changes are potentially dangerous, this is recommended.";"Soll ein Backup der Nutzerdatenbank erstellt werden? Da die Datei nicht groß ist und Änderungen potentiell gefährlich sind, empfehlen wir dies.";"Czy utworzyć backup bazy danych użytkownika? Ponieważ plik nie jest duży a zmiany są potencjalnie niebezpieczne, zalecamy to.";
"success_title";"Successfully resetted";"Passwort erfolgreich zurückgesetzt";"Hasło anulowano z powodzeniem";
"success_text";"The password of the selected user has been successfully blanked. Reboot to windows and set a new password.";"Das Passwort wurde erfolgreich zurückgesetzt. Starten Sie Windows, melden Sie sich ohne Passwort an und vergeben Sie ein neues Passwort.";"Hasło anulowano z powodzeniem. Uruchom Windows, zaloguj się bez hasła i ustaw nowe hasło.";
"error_title";"Failed resetting password";"Fehler beim Zurücksetzen";"Bład podczas anulowania";
