"";"en";"de";"pl";
"head";"Clone disk drive";"Laufwerk klonen";"Klonuj dysk";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Napęd źródłowy";
"frame_target";"Target drive";"Ziellaufwerk";"Napęd docelowy";
"source_target_title";"Identical drives";"Identische Laufwerke";"Identyczne napędy";
"source_target_text";"Source and target drives must not be identical. Please select different drives!";"Quell- und Ziellaufwerk müssen sich unterscheiden. Bitte wählen Sie die Laufwerke erneut.";"Napęd źródłowy i docelowy muszą być różne. Proszę ponownie wybrać napędy.";
"different_type_title";"Different types selected";"Verschiedene Typen gewählt";"Wybrano różne typy";
"different_type_text";"Cloning from partition to disk or vice versa might cause problems. You will probably be able to mount under Linux, using the command line. Other operating systems will not be able to access the cloned drive. Do you really want to continue?";"Das Klonen einer Partition auf eine Festplatte oder umgekehrt wird zu Problemen führen. Der Zugriff ist zwar unter Linux auf der Kommandozeile möglich, nicht jedoch unter anderen Betriebssystemen wie Windows. Wollen Sie wirklich mit dem Klonen beginnen?";"Klonowanie partycji na twardy dysk albo odwrotnie będzie skutkować problemami. Dostęp jest wprawdzie możliwy w wierszu poleceń Linuksa, ale nie w innych systemach jak Windows. Czy na pewno chcesz rozpocząć klonowanie?";
"too_small_title";"Target smaller than source";"Ziel kleiner als Quelle";"Napęd docelowy jest mniejszy od źródłowego";
"too_small_text";"The target device is smaller than the source device. Please make sure that no partition ends beyond the end of the target device. Do you really want to continue?";"Das Ziellaufwerk ist kleiner als das Quelllaufwerk. Bitte stellen Sie sicher, dass das Partitionsende der letzten Partition innerhalb des gültigen Bereichs liegt. Wollen Sie wirklich mit dem Klonen beginnen?";"Napęd docelowy jest mniejszy niż źródłowy. Upewnij się, czy któraś z partycji nie przekracza rozmiaru wybranego dysku. Czy na pewno chcesz kontynuować?";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"target_mounted_title";"Target mounted";"Ziellaufwerk eingebunden";"Napęd docelowy zamontowany";
"target_mounted_text";"The target device is still mounted. Neither read-only nor read-write mounts are allowed. Cloning is not possible.";"Das Ziellaufwerk befindet sich im Zugriff. Weder nur-lesbarer noch schreibbarer Zugriff sind erlaubt. Klonen nicht möglich.";"Urządzenie źródłowe jest nadal zamontowane. Nie jest dozwolony  dostęp w trybie do odczytu, ani zapisu. Klonowanie nie jest niemożliwe.";
"clone_warn_title";"Do you really want to clone?";"Wollen Sie wirklich klonen?";"Czy na pewno chcesz klonować?";
"clone_warn_text";"Do you really want to clone the selected source drive and effectively overwrite all data stored on the target drive?";"Wollen Sie das Quelllaufwerk wirklich klonen und damit alle Daten auf dem Ziellaufwerk überschreiben?";"Czy na pewno chcesz klonować napęd źródłowy i tym samym nadpisać wszystkie dane na napędzie docelowym?";
"stop_title";"Confirm stop";"Abbrechen bestätigen";"Potwierdź przerwanie";
"stop_text";"The cloning is interrupted. If you stop cloning, the the target drive will be in inconsistent state. Do you really want to stop and exit?";"Das Klonen wurde angehalten. Wenn Sie das Klonen abbrechen, wird das Ziellaufwerk nicht benutzbar sein. Wollen Sie wirklich abbrechen?";"Klonowanie zostało zatrzymane. Jeśli anulujesz klonowanie, napęd docelowy będzie nieużyteczny. Czy naprawdę chcesz przerwać i wyjść?";
"done_title";"Done!";"Fertig!";"Gotowe!";
"done_text";"The selected drive was successfully cloned.";"Das ausgewählte Laufwerk wurde erfolgreich geklont.";"Wybrany napęd został sklonowany z powodzeniem.";
"error_title";"Errors encountered!";"Fehler beim Klonen!";"Błąd podczas klonowania!";
"error_text";"When cloning the selected drive ERRORCOUNT errors were encountered. Depending on the data stored in this area, some files might be lost. You might use ""ddrescue"" (from a terminal) to clone as much data as possible in the bad sectors.";"Während des Klonens traten ERRORCOUNT Fehler auf. Dies bedeutet, dass - je nach Belegung dieser Sektoren - Daten verloren gegangen sind. Sie können den Befehl ""ddrescue"" (im Terminal) verwenden, um größtmögliche Teile defekter Sektoren zu klonen.";"Podczas klonowania wystąpił błąd ERRORCOUNT. W zależności od danych zapisanych w tym miejscu, niektóre pliki mogą zostać utracone. Możesz użyć polecenia ""ddrescue"" (w terminalu), aby sklonować jak najwięcej możliwych danych z uszkodzonych sektorów.";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"frame_progress";"Progress of cloning";"Fortschritt des Klonens";"Postęp klonowania";
"go";"Start";"Starten";"Start";
"stop";"Stop";"Stop";"Stop";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"remaining";"remaining";"verbleibend";"pozostało";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Klonen zu beginnen";"Kliknij na ""Start"" aby rozpocząć klonowanie";
"starting";"Initializing...";"Initialisiere...";"Inicjacja...";
"disk-is-source";"Use drive as source";"Laufwerk als Quelle verwenden";"";
"file-is-source";"Use image file as source";"Image-Datei als Quelle verwenden";"";
"source_not_selected_text";"Please select a source file!";"Bitte wählen Sie eine Quelldatei!";"";
"select-source-file";"Select a source file";"Wählen Sie eine Quelldatei";"";
"source_not_selected_title";"No source selected";"Keine Quelldatei!";"";
"source_not_file_text";"Source must be a regular file!";"Quelldatei muss reguläre Datei sein!";"";
"source_not_file_title";"Regular file expected";"Reguläre Datei erwartet";"";
"head";"Clone disk drive";"Laufwerk klonen";"Klonuj dysk";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Napęd źródłowy";
"frame_target";"Target drive";"Ziellaufwerk";"Napęd docelowy";
"source_target_title";"Identical drives";"Identische Laufwerke";"Identyczne napędy";
"source_target_text";"Source and target drives must not be identical. Please select different drives!";"Quell- und Ziellaufwerk müssen sich unterscheiden. Bitte wählen Sie die Laufwerke erneut.";"Napęd źródłowy i docelowy muszą być różne. Proszę ponownie wybrać napędy.";
"different_type_title";"Different types selected";"Verschiedene Typen gewählt";"Wybrano różne typy";
"different_type_text";"Cloning from partition to disk or vice versa might cause problems. You will probably be able to mount under Linux, using the command line. Other operating systems will not be able to access the cloned drive. Do you really want to continue?";"Das Klonen einer Partition auf eine Festplatte oder umgekehrt wird zu Problemen führen. Der Zugriff ist zwar unter Linux auf der Kommandozeile möglich, nicht jedoch unter anderen Betriebssystemen wie Windows. Wollen Sie wirklich mit dem Klonen beginnen?";"Klonowanie partycji na twardy dysk albo odwrotnie będzie skutkować problemami. Dostęp jest wprawdzie możliwy w wierszu poleceń Linuksa, ale nie w innych systemach jak Windows. Czy na pewno chcesz rozpocząć klonowanie?";
"too_small_title";"Target smaller than source";"Ziel kleiner als Quelle";"Napęd docelowy jest mniejszy od źródłowego";
"too_small_text";"The target device is smaller than the source device. Please make sure that no partition ends beyond the end of the target device. Do you really want to continue?";"Das Ziellaufwerk ist kleiner als das Quelllaufwerk. Bitte stellen Sie sicher, dass das Partitionsende der letzten Partition innerhalb des gültigen Bereichs liegt. Wollen Sie wirklich mit dem Klonen beginnen?";"Napęd docelowy jest mniejszy niż źródłowy. Upewnij się, czy któraś z partycji nie przekracza rozmiaru wybranego dysku. Czy na pewno chcesz kontynuować?";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
