"";"en";"de";"pl";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Napęd źródłowy";
"frame_target";"Target directory";"Zielverzeichnis";"Target directory";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"frame_progress";"Progress of conversion";"Fortschritt der Umwandlung";"Progress of imaging";
"go";"Start";"Starten";"Start";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit der Rettung zu beginnen";"Kliknij na ""Start"" aby rozpocząć klonowanie";
"conversion_running";"Conversion running - PERCENTAGE% done";"Rettung läuft - ca. PERCENTAGE% abgeschlossen";"Imaging running - PERCENTAGE% done";
"cancel";"Cancel";"Abbrechen";"Cancel";
"failed";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Rettung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"success";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"success_long";"The imaging was successful. You can now rescue data from the image with PhotoRec, mount the image or use dd to transfer it to a new drive.";"Die Rettung war erfolgreich. Sie können das Festplattenimage nun mit dd auf eine neue Platte übertragen, mit PhotoRec nach Dateien suchen oder das Image mounten.";"The imaging was successful. You can use PhotoRec to rescue data from the image, mount the image or use dd to transfer it to a new hard disk.";
"success_pgbar";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"targetdir";"Target directory";"Zielverzeichnis";"Target directory";
"title";"Create emergency image (ddrescue)";"Notfall-Image erstellen (ddrescue)";"Create emergency image";
"frame_vte";"Output";"Ausgabe von ddrescue";"Output";
"pgbar_second_run";"Second run - trying to rescue from bad blocks";"Zweiter Lauf - rette Daten von defekten Blöcken";"Second run - trying to rescue from bad blocks";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Napęd źródłowy";
"frame_target";"Target directory";"Zielverzeichnis";"Target directory";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"frame_progress";"Progress of conversion";"Fortschritt der Umwandlung";"Progress of imaging";
"go";"Start";"Starten";"Start";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit der Rettung zu beginnen";"Kliknij na ""Start"" aby rozpocząć klonowanie";
"conversion_running";"Conversion running - PERCENTAGE% done";"Rettung läuft - ca. PERCENTAGE% abgeschlossen";"Imaging running - PERCENTAGE% done";
"cancel";"Cancel";"Abbrechen";"Cancel";
"failed";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Rettung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"success";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"success_long";"The imaging was successful. You can now rescue data from the image with PhotoRec, mount the image or use dd to transfer it to a new drive.";"Die Rettung war erfolgreich. Sie können das Festplattenimage nun mit dd auf eine neue Platte übertragen, mit PhotoRec nach Dateien suchen oder das Image mounten.";"The imaging was successful. You can use PhotoRec to rescue data from the image, mount the image or use dd to transfer it to a new hard disk.";
"success_pgbar";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"targetdir";"Target directory";"Zielverzeichnis";"Target directory";
"title";"Create emergency image (ddrescue)";"Notfall-Image erstellen (ddrescue)";"Create emergency image";
"frame_vte";"Output";"Ausgabe von ddrescue";"Output";
"pgbar_second_run";"Second run - trying to rescue from bad blocks";"Zweiter Lauf - rette Daten von defekten Blöcken";"Second run - trying to rescue from bad blocks";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Napęd źródłowy";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Napęd źródłowy zamontowany";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"Urządzenie źródłowe jest nadal zamontowane. Dostęp w trybie do odczytu nie stanowi problemu, ale upewnij się, że źródło nie jest zamontowane z opcją zapisu. Czy na pewno chcesz kontynuować?";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"go";"Start";"Starten";"Start";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit der Rettung zu beginnen";"Kliknij na ""Start"" aby rozpocząć klonowanie";
"cancel";"Cancel";"Abbrechen";"Cancel";
"failed";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Rettung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Rettung fehlgeschlagen";"Conversion failed";
"success";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"success_long";"The imaging was successful. You can now rescue data from the image with PhotoRec, mount the image or use dd to transfer it to a new drive.";"Die Rettung war erfolgreich. Sie können das Festplattenimage nun mit dd auf eine neue Platte übertragen, mit PhotoRec nach Dateien suchen oder das Image mounten.";"The imaging was successful. You can use PhotoRec to rescue data from the image, mount the image or use dd to transfer it to a new hard disk.";
"success_pgbar";"Imaging successful";"Rettung erfolgreich";"Imaging successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"targetdir";"Target directory";"Zielverzeichnis";"Target directory";
"title";"Create emergency image (ddrescue)";"Notfall-Image erstellen (ddrescue)";"Create emergency image";
"frame_progress";"Progress of conversion";"Fortschritt der Umwandlung";"Progress of imaging";
"conversion_running";"Conversion running - PERCENTAGE% done";"Rettung läuft - ca. PERCENTAGE% abgeschlossen";"Imaging running - PERCENTAGE% done";
"frame_target";"Target directory";"Zielverzeichnis";"Target directory";
"frame_vte";"Output";"Ausgabe von ddrescue";"Output";
"pgbar_second_run";"Second run - trying to rescue from bad blocks";"Zweiter Lauf - rette Daten von defekten Blöcken";"Second run - trying to rescue from bad blocks";
