"";"en";"de";"pl";
"head";"Delte disk drive";"Festplatte löschen";"Kasuj dysk";
"frame_drive";"Drive to delete";"Zu löschendes Laufwerk";"Dysk do skasowania";
"frame_method";"Method used";"Löschmethode";"Metoda kasowania";
"frame_progress";"Progress of deletion";"Fortschritt der Löschung";"Postęp kasowania";
"onerun";"Single run with zeroes (fast, sufficient on modern drives)";"Ein Durchlauf mit Nullen (schnell, meist ausreichend)";"Jeden cykl z zerami (szybkie, najczęściej wystarczające)";
"tworuns";"Two runs with random data (use this on very old drives)";"Zwei Durchläufe mit Zufallsdaten (auf alten Laufwerken verwenden)";"Dwa cykle przypadkowymi danymi (stosowac na starych napędach)";
"go";"Start";"Starten";"Start";
"stop";"Stop";"Stop";"Stop";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"confirm_title";"Confirm deletion";"Löschen bestätigen";"Potwierdź kasowanie";
"confirm_text";"Do you really want to erase all data from the selected drive?";"Wollen Sie wirklich alle Daten auf dem ausgewählten Laufwerk löschen?";"Czy na pewno chcesz zniszczyć wszystkie dane na wybranym napędzie?";
"stop_title";"Confirm stop";"Abbrechen bestätigen";"Potwierdź przerwanie";
"stop_text";"The deletion is interrupted. If you stop the deletion, the data on the drive will be partially recoverable. Do you really want to stop and exit?";"Der Löschvorgang wurde angehalten. Wenn Sie das Löschen abbrechen, werden Teile der vor dem Löschen vorhandenen Daten wiederherstellbar sein. Wollen Sie den Löschvorgang abbrechen und das Programm beenden?";"Proces niszczenia danych został wstrzymany. Jeśli przerwiesz kasowanie, dane z dysku będzie można częściowo odzyskać. Czy chcesz przerwać proces kasowania i zakończyć program?";
"done_title";"Done!";"Fertig!";"Gotowe!";
"done_text";"The selected drive was successfully erased. Depending on number of reallocated sectors, small amounts of data might still be recoverable.";"Das ausgewählte Laufwerk wurde erfolgreich gelöscht. Je nach Anzahl realloziierter Sektoren können möglicherweise sehr geringe Mengen der ursprünglichen Daten wiederhergestellt werden.";"Wybrany napęd został pomyślnie wyczyszczony. W zależności od liczby przemieszczonych sektorów, małe ilości danych mogą być możliwe do odzyskania.";
"error_title";"Errors encountered!";"Fehler beim Löschen!";"Błąd przy kasowaniu!";
