"";"en";"de";
"title";"Find and extract browser histories";"Browserverläufe finden und auslesen";
"frame_explanation";"Dump browser histories";"Browserverläufe finden und umwandeln";
"text_explanation";"This tool finds and dumps the history data bases from Internet Explorer, Firefox and Chrome. Select the mountpoint of a windows partition as source directory.";"Dieses Programm sucht und findet die Verläufe der gängigsten Webbrowser (Internet Explorer, Firefox und Chrome) und wandelt diese in leicht lesbare Dateien um. Wählen Sie den Einbindungspunkt einer Windows-Partition als Startverzeichnis.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
"title";"Find and extract browser histories";"Browserverläufe finden und auslesen";
"frame_explanation";"Dump browser histories";"Browserverläufe finden und umwandeln";
"text_explanation";"This tool finds and dumps the history data bases from Internet Explorer, Firefox and Chrome. Select the mountpoint of a windows partition as source directory.";"Dieses Programm sucht und findet die Verläufe der gängigsten Webbrowser (Internet Explorer, Firefox und Chrome) und wandelt diese in leicht lesbare Dateien um. Wählen Sie den Einbindungspunkt einer Windows-Partition als Startverzeichnis.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
