"";"en";"de";"pl";
"head";"Prevent data loss!";"Achtung: Datenverlust droht!";"Uwaga: niebezpieczeństwo utraty danych!";
"imsm_head";"SSD Hardware-Caching";"SSD Hardware-Caching";"SSD Hardware-Caching";
"hibernated_head";"Windows 8 in Hyperboot mode";"Windows 8 im Hyperboot-Modus";"Windows 8 jest w trybie hyperboot";
"badmem_head";"Defect memory found";"Defekter Arbeitsspeicher gefunden";"Wykryto uszkodzoną pamięć operacyjną";
"badsquash_head";"Boot media defect";"Startmedium defekt";"Nośnik startowy uszkodzony";
"imsm_text";"One drive contains the signature of Intels Rapid Storage Technology (RST/IMSM). If this caching is active you are threatened by data loss upon write access. Deactivate SSD caching in the RST driver setup or the BIOS setup of the option ROM. Please note: This message will still be shown after deactivating SSD caching.";"Ein Laufwerk weist die Signatur von Intels Rapid Storage Technology (RST oder IMSM) auf. Falls dieses Caching aktiv ist, droht beim Zugriff im Schreibmodus Datenverlust. Deaktivieren Sie deshalb SSD-Caching im RST-Treiber unter Windows oder im BIOS-Setup des Option ROM. Bitte beachten Sie: Dieser Hinweis wird auch bei deaktiviertem SSD-Caching angezeigt.";"Napęd wykazuje sygnaturę Intel Rapid Storage Technology (RST albo IMSM). Jeśli ten caching jest aktywny, przy dostępie w trybie zapisu grozi utrata danych. Wyłącz caching SSD w sterowniku RST w Windows albo w ustawieniach BIOS w opcji ROM. Miej na uwadze: ta wskazówka wyświetla się również przy wyłączonym cachingu SSD.";
"hibernated_text";"One windows drive contains an active memory image (""hiberfil.sys""). This usually is the case if Windows 8 uses hyperboot or Windows generally is hibernated. You are threatened by data loss if you activate write access. Please use the batch file ""shutdown.bat"" on DVD or USB drive to completely shut down Windows.";"Ein Windows-Laufwerk enthält einen aktiven Speicherabzug (""hiberfil.sys"") - dies weist auf Windows 8 im Hyperboot-Modus oder Windows im Ruhezustand hin. Beim Zugriff im Schreibmodus droht Datenverlust! Rufen Sie deshalb unter Windows die Batchdatei ""shutdown.bat"" auf DVD oder USB-Stick auf, um Windows vollständig herunterzufahren.";"Napęd Windows zawiera aktywny zrzut pamięci (""hiberfil.sys"") - to wskazuje na Windows 8 w trybie hyperboot albo na Windows w stanie hibernacji. Przy dostępie w trybie zapisu grozi utrata danych! Użyj pliku ""shutdown.bat"" z płyty lub pamięci USB, aby całkowicie wyłączyć Windows.";
"badmem_text";"During startup damaged areas of you main memory (RAM) were found and deactivated. Since additional areas of bad memory might appear with rising system temperatures your computer will likely not run stable. Please replace the defect memory as soon as possible.";"Während des Systemstarts wurden defekte Bereiche des Arbeitsspeichers gefunden und deaktiviert. Da nicht auszuschließen ist, dass weitere defekte Speicherbereiche erst mit erhöhter Temperatur bemerkbar sind, ist die Systemstabilität gefährdet. Tauschen Sie den defekten Arbeitsspeicher schnellstmöglich aus!";"Podczas uruchamiania systemu znaleziono i wyłączono uszkodzone sektory pamięci operacyjnej. Ponieważ nie można wykluczyć, że ze wzrostem temperatury pojawią się kolejne uszkodzone sektory pamięci, stabilność systemu jest zagrożona. Jak najszybciej wymięń uszkodzoną pamięc operacyjną";
"badsquash_text";"The boot media contains errors, please install on a different CD, DVD or USB drive. Continuing startup might result in a very unreliable system.";"Das Startmedium enthält Fehler,bitte installieren Sie auf einer anderen CD, DVD oder einem anderen USB-Laufwerk. Falls Sie den Start fortsetzen, wird das System instabil funktionieren.";"Nośnik startowy zawiera błędy, zainstaluj go na innym CD, DVD lub napędzie USB. Jeśli będziesz kontynuuował uruchamianie, system będzie działał niestabilnie.";
"button_continue";"Ignore warnings and continue";"Warnungen ignorieren und weiter";"Ignoruj ostrzeżenia i kontynuuj";
"button_shutdown";"Shutdown computer";"Computer ausschalten";"Wyłącz komputer";
"smart_head";"Check of hard disks necessary";"Überprüfung der Festplatten erforderlich";"";
"smart_text";"At least one of your hard disks logged errors. You should check whether the cause is relatively harmless (eg. high temperature) or bad blocks are the sign of an immanent failure. Use the program ""GSmartControl"" to find out.";"Wenigstens eine Ihrer Festplatten hat beim Selbsttest Fehler festgestellt. Sie sollten überprüfen, ob lediglich Überschreitungen der Solltemperatur vorliegen oder defekte Sektoren einen drohenden Ausfall ankündigen. Verwenden Sie hierfür das Tool ""GSmartControl"".";"";
"toohot_head";"Check of cooling necessary";"Prüfung der Kühlung notwendig";"";
"toohot_text";"During the CPU stress test critical temperatures were reached. This could cause instabilities and thus data loss. Please check your systems fans.";"Während des Lasttests der CPU wurden kritische Temperaturen erreicht. Das kann Instabilitäten und damit Datenverlust verursachen. Bitte prüfen Sie Anschluss und Freigängigkeit Ihrer Lüfter.";"";
"head";"Prevent data loss!";"Achtung: Datenverlust droht!";"Uwaga: niebezpieczeństwo utraty danych!";
"imsm_head";"SSD Hardware-Caching";"SSD Hardware-Caching";"SSD Hardware-Caching";
"hibernated_head";"Windows 8 in Hyperboot mode";"Windows 8 im Hyperboot-Modus";"Windows 8 jest w trybie hyperboot";
"badmem_head";"Defect memory found";"Defekter Arbeitsspeicher gefunden";"Wykryto uszkodzoną pamięć operacyjną";
"badsquash_head";"Boot media defect";"Startmedium defekt";"Nośnik startowy uszkodzony";
"imsm_text";"One drive contains the signature of Intels Rapid Storage Technology (RST/IMSM). If this caching is active you are threatened by data loss upon write access. Deactivate SSD caching in the RST driver setup or the BIOS setup of the option ROM. Please note: This message will still be shown after deactivating SSD caching.";"Ein Laufwerk weist die Signatur von Intels Rapid Storage Technology (RST oder IMSM) auf. Falls dieses Caching aktiv ist, droht beim Zugriff im Schreibmodus Datenverlust. Deaktivieren Sie deshalb SSD-Caching im RST-Treiber unter Windows oder im BIOS-Setup des Option ROM. Bitte beachten Sie: Dieser Hinweis wird auch bei deaktiviertem SSD-Caching angezeigt.";"Napęd wykazuje sygnaturę Intel Rapid Storage Technology (RST albo IMSM). Jeśli ten caching jest aktywny, przy dostępie w trybie zapisu grozi utrata danych. Wyłącz caching SSD w sterowniku RST w Windows albo w ustawieniach BIOS w opcji ROM. Miej na uwadze: ta wskazówka wyświetla się również przy wyłączonym cachingu SSD.";
"hibernated_text";"One windows drive contains an active memory image (""hiberfil.sys""). This usually is the case if Windows 8 uses hyperboot or Windows generally is hibernated. You are threatened by data loss if you activate write access. Please use the batch file ""shutdown.bat"" on DVD or USB drive to completely shut down Windows.";"Ein Windows-Laufwerk enthält einen aktiven Speicherabzug (""hiberfil.sys"") - dies weist auf Windows 8 im Hyperboot-Modus oder Windows im Ruhezustand hin. Beim Zugriff im Schreibmodus droht Datenverlust! Rufen Sie deshalb unter Windows die Batchdatei ""shutdown.bat"" auf DVD oder USB-Stick auf, um Windows vollständig herunterzufahren.";"Napęd Windows zawiera aktywny zrzut pamięci (""hiberfil.sys"") - to wskazuje na Windows 8 w trybie hyperboot albo na Windows w stanie hibernacji. Przy dostępie w trybie zapisu grozi utrata danych! Użyj pliku ""shutdown.bat"" z płyty lub pamięci USB, aby całkowicie wyłączyć Windows.";
"badmem_text";"During startup damaged areas of you main memory (RAM) were found and deactivated. Since additional areas of bad memory might appear with rising system temperatures your computer will likely not run stable. Please replace the defect memory as soon as possible.";"Während des Systemstarts wurden defekte Bereiche des Arbeitsspeichers gefunden und deaktiviert. Da nicht auszuschließen ist, dass weitere defekte Speicherbereiche erst mit erhöhter Temperatur bemerkbar sind, ist die Systemstabilität gefährdet. Tauschen Sie den defekten Arbeitsspeicher schnellstmöglich aus!";"Podczas uruchamiania systemu znaleziono i wyłączono uszkodzone sektory pamięci operacyjnej. Ponieważ nie można wykluczyć, że ze wzrostem temperatury pojawią się kolejne uszkodzone sektory pamięci, stabilność systemu jest zagrożona. Jak najszybciej wymięń uszkodzoną pamięc operacyjną";
"badsquash_text";"The boot media contains errors, please install on a different CD, DVD or USB drive. Continuing startup might result in a very unreliable system.";"Das Startmedium enthält Fehler,bitte installieren Sie auf einer anderen CD, DVD oder einem anderen USB-Laufwerk. Falls Sie den Start fortsetzen, wird das System instabil funktionieren.";"Nośnik startowy zawiera błędy, zainstaluj go na innym CD, DVD lub napędzie USB. Jeśli będziesz kontynuuował uruchamianie, system będzie działał niestabilnie.";
"button_continue";"Ignore warnings and continue";"Warnungen ignorieren und weiter";"Ignoruj ostrzeżenia i kontynuuj";
"button_shutdown";"Shutdown computer";"Computer ausschalten";"Wyłącz komputer";
"smart_head";"Check of hard disks necessary";"Überprüfung der Festplatten erforderlich";"";
"smart_text";"At least one of your hard disks logged errors. You should check whether the cause is relatively harmless (eg. high temperature) or bad blocks are the sign of an immanent failure. Use the program ""GSmartControl"" to find out.";"Wenigstens eine Ihrer Festplatten hat beim Selbsttest Fehler festgestellt. Sie sollten überprüfen, ob lediglich Überschreitungen der Solltemperatur vorliegen oder defekte Sektoren einen drohenden Ausfall ankündigen. Verwenden Sie hierfür das Tool ""GSmartControl"".";"";
"toohot_head";"Check of cooling necessary";"Prüfung der Kühlung notwendig";"";
"toohot_text";"During the CPU stress test critical temperatures were reached. This could cause instabilities and thus data loss. Please check your systems fans.";"Während des Lasttests der CPU wurden kritische Temperaturen erreicht. Das kann Instabilitäten und damit Datenverlust verursachen. Bitte prüfen Sie Anschluss und Freigängigkeit Ihrer Lüfter.";"";
"head";"Prevent data loss!";"Achtung: Datenverlust droht!";"Uwaga: niebezpieczeństwo utraty danych!";
"imsm_head";"SSD Hardware-Caching";"SSD Hardware-Caching";"SSD Hardware-Caching";
"hibernated_head";"Windows 8 in Hyperboot mode";"Windows 8 im Hyperboot-Modus";"Windows 8 jest w trybie hyperboot";
"badmem_head";"Defect memory found";"Defekter Arbeitsspeicher gefunden";"Wykryto uszkodzoną pamięć operacyjną";
"badsquash_head";"Boot media defect";"Startmedium defekt";"Nośnik startowy uszkodzony";
