"";"en";"de";
"title";"Find and extract jumplists";"Jumplists finden und auslesen";
"frame_explanation";"Dump jumplists";"Jumplists finden und umwandeln";
"text_explanation";"This tool finds and dumps Windows jumplists (lists of recently opened files). Select the mountpoint of a windows partition as source directory.";"Dieses Programm sucht und findet die Jumplists eines Windows-Systems (zuletzt geöffnete Dateien) und wandelt diese in leicht lesbare Dateien um. Wählen Sie den Einbindungspunkt einer Windows-Partition als Startverzeichnis.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
"title";"Find and extract jumplists";"Jumplists finden und auslesen";
"frame_explanation";"Dump jumplists";"Jumplists finden und umwandeln";
"text_explanation";"This tool finds and dumps Windows jumplists (lists of recently opened files). Select the mountpoint of a windows partition as source directory.";"Dieses Programm sucht und findet die Jumplists eines Windows-Systems (zuletzt geöffnete Dateien) und wandelt diese in leicht lesbare Dateien um. Wählen Sie den Einbindungspunkt einer Windows-Partition als Startverzeichnis.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
