"";"en";"de";"pl";
"system_drive";"system drive";"Systemlaufwerk";"Dysk systemowy";
"mount_ro";"Mount read-only";"Nur-lesbar einbinden";"Zamontuj tylko do odczytu";
"mount_rw";"Mount writable";"Schreibbar einbinden";"Zamontuj z prawem zapisu";
"show";"Show content";"Inhalt anzeigen";"Pokaż zawartość";
"unmount";"Unmount drive";"Einbindung lösen";"Odmontuj dysk";
"internal";"Internal drives (SATA/ATA/SCSI)";"Interne Laufwerke (SATA/ATA/SCSI)";"Dyski wewnętrzne (SATA/ATA/SCSI)";
"external";"External drives (USB)";"Externe Laufwerke (USB)";"Dyski zewnętrzne (USB)";
"system_drive";"system drive";"Systemlaufwerk";"Dysk systemowy";
"mount_ro";"Mount read-only";"Nur-lesbar einbinden";"Zamontuj tylko do odczytu";
"mount_rw";"Mount writable";"Schreibbar einbinden";"Zamontuj z prawem zapisu";
"show";"Show content";"Inhalt anzeigen";"Pokaż zawartość";
"unmount";"Unmount drive";"Einbindung lösen";"Odmontuj dysk";
"internal";"Internal drives (SATA/ATA/SCSI)";"Interne Laufwerke (SATA/ATA/SCSI)";"Dyski wewnętrzne (SATA/ATA/SCSI)";
"external";"External drives (USB)";"Externe Laufwerke (USB)";"Dyski zewnętrzne (USB)";
"system_drive";"system drive";"Systemlaufwerk";"Dysk systemowy";
"mount_ro";"Mount read-only";"Nur-lesbar einbinden";"Zamontuj tylko do odczytu";
"mount_rw";"Mount writable";"Schreibbar einbinden";"Zamontuj z prawem zapisu";
"show";"Show content";"Inhalt anzeigen";"Pokaż zawartość";
"unmount";"Unmount drive";"Einbindung lösen";"Odmontuj dysk";
"internal";"Internal drives (SATA/ATA/SCSI)";"Interne Laufwerke (SATA/ATA/SCSI)";"Dyski wewnętrzne (SATA/ATA/SCSI)";
"external";"External drives (USB)";"Externe Laufwerke (USB)";"Dyski zewnętrzne (USB)";
