"";"de";"en";"pl";
"head";"Alle Laufwerke einbinden";"Mount Network Share";"";
"choose";"Wählen Sie hier das Laufwerk, welches schreibbar unter ""/media/backup"" eingebunden werden soll. Alle anderen Laufwerke werden unterhalb von ""/media/disk"" nur-lesbar eingebunden. Nach dem Einbinden werden zwei Dateimanager-Fenster geöffnet, in denen Sie Daten kopieren können.";"Choose the drive that will be mounted writable at ""/media/backup"". All other drives will be mounted read-only below ""/media/disk"". After mounting, two file manager windows will be opened to copy data to the backup drive.";"";
"mntfailedhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"mntfailedbody";"Der Zugriff ist fehlgeschlagen: Bitte überpüfen Sie Servername und Pfad, sowie Nutzername und Passwort.";"Accessing the network share has failed: Please check server name, path, user name and password.";"";
"alreadyhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"alreadybody";"Der Zugriff ist fehlgeschlagen: Unter ""/media/backup"" ist bereits ein Laufwerk eingebunden. Lösen Sie gegenenfalls die Einbindung und versuchen Sie es dann erneut.";"Accessing the drive has failed: ""/media/backup"" already contains a mounted filesystem. If you want to mount with different credentials, please unmount first.";"";
"reread";"Neu einlesen";"Reread";"";
"nosuitable";"Kein geeignetes Laufwerk gefunden";"No suitable drive found";"";
"go";"Laufwerke jetzt einbinden";"Mount drives now";"";
"head";"Alle Laufwerke einbinden";"Mount Network Share";"";
"choose";"Wählen Sie hier das Laufwerk, welches schreibbar unter ""/media/backup"" eingebunden werden soll. Alle anderen Laufwerke werden unterhalb von ""/media/disk"" nur-lesbar eingebunden. Nach dem Einbinden werden zwei Dateimanager-Fenster geöffnet, in denen Sie Daten kopieren können.";"Choose the drive that will be mounted writable at ""/media/backup"". All other drives will be mounted read-only below ""/media/disk"". After mounting, two file manager windows will be opened to copy data to the backup drive.";"";
"mntfailedhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"mntfailedbody";"Der Zugriff ist fehlgeschlagen: Bitte überpüfen Sie Servername und Pfad, sowie Nutzername und Passwort.";"Accessing the network share has failed: Please check server name, path, user name and password.";"";
"alreadyhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"alreadybody";"Der Zugriff ist fehlgeschlagen: Unter ""/media/backup"" ist bereits ein Laufwerk eingebunden. Lösen Sie gegenenfalls die Einbindung und versuchen Sie es dann erneut.";"Accessing the drive has failed: ""/media/backup"" already contains a mounted filesystem. If you want to mount with different credentials, please unmount first.";"";
"reread";"Neu einlesen";"Reread";"";
"nosuitable";"Kein geeignetes Laufwerk gefunden";"No suitable drive found";"";
"go";"Laufwerke jetzt einbinden";"Mount drives now";"";
