"";"de";"en";"pl";
"head";"Netzlaufwerk verbinden";"Mount Network Share";"";
"path";"URL/Pfad:";"URL/path:";"";
"user";"Benutzer:";"User:";"";
"password";"Passwort:";"Password:";"";
"go";"Laufwerk verbinden";"Connect Share";"";
"pathhead";"Ungültiger Pfad";"Incorrect path";"";
"pathbody";"Bitte geben Sie den Pfad in der Notation""https://servername/optionaler-ordner/"" (für WebDAV) oder ""cifs://server/share"" (für Windows-/Samba-Freigaben) an. ""http://"" und ""smb://"" sind ebenfalls zulässig.";"Please specify the path to the server in the notation ""https://servername/optional-folder/"" (for WebDAV) or ""cifs://server/share"" (for Windows/Samba shares). ""http://"" and ""smb://"" are also allowed.";"";
"readwrite";"schreibbar zugreifen";"mount writable";"";
"mntfailedhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"mntfailedbody";"Der Zugriff ist fehlgeschlagen: Bitte überpüfen Sie Servername und Pfad, sowie Nutzername und Passwort.";"Accessing the network share has failed: Please check server name, path, user name and password.";"";
"alreadyhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"alreadybody";"Der Zugriff ist fehlgeschlagen: Das Netzlaufwerk ist bereits (möglicherweise mit anderen Parametern) eingebunden. Lösen Sie gegenenfalls die Einbindung und versuchen Sie es dann erneut.";"Accessing the network share has failed: The share is already mounted. If you want to mount with different credentials, please unmount first.";"";
"certhead";"Keine Zertifikatsprüfung";"No certificate check";"";
"certbody";"Zertifikatsprüfung für https://-URLs ist in diesem Werkzeug noch nicht implementiert. Wollen Sie dennoch fortfahren?";"Certificate check for https:// URLs is not implemented yet. Do you want to continue anyway?";"";
"path";"URL/Pfad:";"URL/path:";"";
"head";"Netzlaufwerk verbinden";"Mount Network Share";"";
"user";"Benutzer:";"User:";"";
"password";"Passwort:";"Password:";"";
"go";"Laufwerk verbinden";"Connect Share";"";
"pathhead";"Ungültiger Pfad";"Incorrect path";"";
"pathbody";"Bitte geben Sie den Pfad in der Notation""https://servername/optionaler-ordner/"" (für WebDAV) oder ""cifs://server/share"" (für Windows-/Samba-Freigaben) an. ""http://"" und ""smb://"" sind ebenfalls zulässig.";"Please specify the path to the server in the notation ""https://servername/optional-folder/"" (for WebDAV) or ""cifs://server/share"" (for Windows/Samba shares). ""http://"" and ""smb://"" are also allowed.";"";
"readwrite";"schreibbar zugreifen";"mount writable";"";
"mntfailedhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"mntfailedbody";"Der Zugriff ist fehlgeschlagen: Bitte überpüfen Sie Servername und Pfad, sowie Nutzername und Passwort.";"Accessing the network share has failed: Please check server name, path, user name and password.";"";
"alreadyhead";"Zugriff fehlgeschlagen";"Mount failed";"";
"alreadybody";"Der Zugriff ist fehlgeschlagen: Das Netzlaufwerk ist bereits (möglicherweise mit anderen Parametern) eingebunden. Lösen Sie gegenenfalls die Einbindung und versuchen Sie es dann erneut.";"Accessing the network share has failed: The share is already mounted. If you want to mount with different credentials, please unmount first.";"";
"certhead";"Keine Zertifikatsprüfung";"No certificate check";"";
"certbody";"Zertifikatsprüfung für https://-URLs ist in diesem Werkzeug noch nicht implementiert. Wollen Sie dennoch fortfahren?";"Certificate check for https:// URLs is not implemented yet. Do you want to continue anyway?";"";
