"";"en";"de";
"title";"Sort scaped files";"Dateien sortieren";
"frame_explanation";"Sorting tool for scaped files";"Sortierwerkzeug für Dateien";
"text_explanation";"This tool sorts files found by PhotoRec and other tools by metadata like camera model and date (photos) or artist, album, tracknumber (mp3s). Files will be renamed within the target folder.";"Dieses Programm sortiert JPGs und MP3s anhand ihrer Metadaten wie Kamera, Aufnahmedatum, Interpret oder Album.";
"frame_directory";"Target directory";"Zu untersuchendes Verzeichnis";
"go";"Start sorting";"Sortieren starten";
"workdir";"Choose target directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start sorting""";"Klicken Sie auf ""Sortieren starten""";
"frame_action";"Action";"Durchzuführende Aktion";
"action_copy";"Copy files";"Dateien kopieren";
"action_move";"Move files";"Dateien verschieben";
"done";"Done";"Sortieren abgeschlossen";
"running";"Sorting...";"Sortieren läuft";
"path_mp3";"Music";"Musik";
"path_picture";"Photos";"Fotos";
"path_presentation";"Slides";"Praesentation";
"path_spreadsheet";"Spreadsheets";"Tabellenkalkulation";
"path_wordproc";"TextDocuments";"Textdokumente";
"could_not_create_dir";"Failed creating directory for sorted files, please make sure the drive is mounted read-write.";"Konnte Ordner für sortierte Dateien nicht anlegen. Stellen Sie sicher, dass das angegebene Laufwerk schreibbar eingebunden ist.";
"title";"Sort scaped files";"Dateien sortieren";
"frame_explanation";"Sorting tool for scaped files";"Sortierwerkzeug für Dateien";
"text_explanation";"This tool sorts files found by PhotoRec and other tools by metadata like camera model and date (photos) or artist, album, tracknumber (mp3s). Files will be renamed within the target folder.";"Dieses Programm sortiert JPGs und MP3s anhand ihrer Metadaten wie Kamera, Aufnahmedatum, Interpret oder Album.";
"frame_directory";"Target directory";"Zu untersuchendes Verzeichnis";
"go";"Start sorting";"Sortieren starten";
"workdir";"Choose target directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start sorting""";"Klicken Sie auf ""Sortieren starten""";
"frame_action";"Action";"Durchzuführende Aktion";
"action_copy";"Copy files";"Dateien kopieren";
"action_move";"Move files";"Dateien verschieben";
"done";"Done";"Sortieren abgeschlossen";
"running";"Sorting...";"Sortieren läuft";
"path_mp3";"Music";"Musik";
"path_picture";"Photos";"Fotos";
"path_presentation";"Slides";"Praesentation";
"path_spreadsheet";"Spreadsheets";"Tabellenkalkulation";
"path_wordproc";"TextDocuments";"Textdokumente";
"could_not_create_dir";"Failed creating directory for sorted files, please make sure the drive is mounted read-write.";"Konnte Ordner für sortierte Dateien nicht anlegen. Stellen Sie sicher, dass das angegebene Laufwerk schreibbar eingebunden ist.";
