"";"en";"de";
"title";"Find and convert Outlook mailboxes";"Outlook Mailboxen importieren";
"frame_explanation";"Convert Outlook mailboxes";"Outlook Mailboxen importieren";
"text_explanation";"This tool finds and converts Outlook mailboxes (PST files) and makes them available in Thunderbird. Select the mountpoint of a windows partition as source directory.";"Dieses Programm sucht und Outlook-Mailboxen und konvertiert diese. Sie können diese anschließend in Thunderbird öffnen. Wählen Sie den Einbindungspunkt einer Windows-Partition als Startverzeichnis.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
"title";"Find and convert Outlook mailboxes";"Outlook Mailboxen importieren";
"frame_explanation";"Convert Outlook mailboxes";"Outlook Mailboxen importieren";
"text_explanation";"This tool finds and converts Outlook mailboxes (PST files) and makes them available in Thunderbird. Select the mountpoint of a windows partition as source directory.";"Dieses Programm sucht und Outlook-Mailboxen und konvertiert diese. Sie können diese anschließend in Thunderbird öffnen. Wählen Sie den Einbindungspunkt einer Windows-Partition als Startverzeichnis.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
