"";"en";"de";
"title";"QEMU start";"QEMU starten";
"frame_explanation";"Start image with QEMU";"Image in QEMU starten";
"text_explanation";"This tool starts QEMU with a given hard disk image. Currently only raw and qcow formats are supported.";"Starten Sie ein Festplattenimage in QEMU. Unterstützt werden derzeit die Formate raw und qcow.";
"frame_options";"Options";"Einstellungen";
"image_desc";"Image file";"Image-Datei";
"memory";"Memory (MB)";"Speicher (MB)";
"frame_progress";"Start";"Start";
"qemustart";"Start emulation";"Emulation starten";
"choose-qcow";"Directory for qcow2 overlay";"Verzeichnis für qcow2 Overlay";
"no-kvm-text";"No /dev/kvm found. Virtualization not possible.";"Keine /dev/kvm gefunden, Virtualisierung nicht möglich.";
"no-kvm-title";"Missing /dev/kvm";"/dev/kvm fehlt";
"qcow-long-description";"By using a qcow2 overlay file you can run a disk image in emulation without modifying it. If the directory chosen contains a file overlay.qcow2, it will used, otherwise it will be generated.";"Mit einem qcow2 Overlay können Sie ein Festplattenimage ohne Änderungen in der Emulation starten. Wenn das ausgewählte Verzeichnis bereits eine Datei overlay.qcow2 enthält, wird dieses verwendet, ansonsten erzeugt.";
"qcow-or-underlay-text";"Either an image file must be specified or overlay.qcow2 in the selected directory must exist.";"Geben Sie entweder eine Image-Datei an oder ein Verzeichnis, das eine Datei overlay.qcow2 enthält.";
"qcow-or-underlay-title";"Missing file";"Fehlende Datei";
"use-qcow-overlay";"Use qcow2 overlay";"Verwende qcow2 Overlay";
"workdir";"Working directory";"Arbeitsverzeichnis";
"title";"QEMU start";"QEMU starten";
"frame_explanation";"Start image with QEMU";"Image in QEMU starten";
"text_explanation";"This tool starts QEMU with a given hard disk image. Currently only raw and qcow formats are supported.";"Starten Sie ein Festplattenimage in QEMU. Unterstützt werden derzeit die Formate raw und qcow.";
"frame_options";"Options";"Einstellungen";
"image_desc";"Image file";"Image-Datei";
"memory";"Memory (MB)";"Speicher (MB)";
"frame_progress";"Start";"Start";
"qemustart";"Start emulation";"Emulation starten";
"choose-qcow";"Directory for qcow2 overlay";"Verzeichnis für qcow2 Overlay";
"no-kvm-text";"No /dev/kvm found. Virtualization not possible.";"Keine /dev/kvm gefunden, Virtualisierung nicht möglich.";
"no-kvm-title";"Missing /dev/kvm";"/dev/kvm fehlt";
"qcow-long-description";"By using a qcow2 overlay file you can run a disk image in emulation without modifying it. If the directory chosen contains a file overlay.qcow2, it will used, otherwise it will be generated.";"Mit einem qcow2 Overlay können Sie ein Festplattenimage ohne Änderungen in der Emulation starten. Wenn das ausgewählte Verzeichnis bereits eine Datei overlay.qcow2 enthält, wird dieses verwendet, ansonsten erzeugt.";
"qcow-or-underlay-text";"Either an image file must be specified or overlay.qcow2 in the selected directory must exist.";"Geben Sie entweder eine Image-Datei an oder ein Verzeichnis, das eine Datei overlay.qcow2 enthält.";
"qcow-or-underlay-title";"Missing file";"Fehlende Datei";
"use-qcow-overlay";"Use qcow2 overlay";"Verwende qcow2 Overlay";
"workdir";"Working directory";"Arbeitsverzeichnis";
