"";"de";"en";"pl";
"head";"Windowsfreigabe aktivieren";"Activate Windows Share";"";
"step1";"Information";"Information";"";
"step2";"Status, Start und Stop";"Current State, Start and Stop";"";
"startsmb";"Windowsfreigabe aktivieren";"Activate Windows Share";"";
"stopsmb";"Windowsfreigabe aufheben";"Deactivate Windows Share";"";
"info";"Bei aktivierter Windows-Freigabe sind alle unter /media eingebundenen Laufwerke im lokalen Netz ohne Passwort zugänglich gemacht. Die Freigabe ist nur lesbar, so dass keine Gefahr von Datenverlusten besteht. Aus technischen Gründen können einige Ordner nicht als ganzes kopiert werden, kopieren Sie in diesem Fall Unterordner oder Ordnerinhalte. Bitte verwenden Sie die Freigabe nur in vertrauenswürdigen Umgebungen.";"When activated, all drives mounted under /media can be accessed from the local network without password. Access is read-only , so there is no risk of accidentially destroying data. For technical reasons some folders might not be copied as a whold, in this case copy subfolders or files. Please activate this share only in trustworthy environments.";"";
"statusoff";"Die Windows-Freigabe ist derzeit nicht aktiv.";"Windows shares are currently inactive.";"";
"statuson";"Die Windows-Freigabe ist derzeit aktiv. Sie können über die IP-Adresse(n) dieses Rechners (IPADDRESSES) oder den Hostnamen ""NOTFALL-DVD"" zugreifen.";"Windows shares are activated. Use the IP addresses of this computer (IPADDRESSES) or the host name ""NOTFALL-DVD"" to access the shares.";"";
"head";"Windowsfreigabe aktivieren";"Activate Windows Share";"";
"step1";"Information";"Information";"";
"step2";"Status, Start und Stop";"Current State, Start and Stop";"";
"startsmb";"Windowsfreigabe aktivieren";"Activate Windows Share";"";
"stopsmb";"Windowsfreigabe aufheben";"Deactivate Windows Share";"";
"info";"Bei aktivierter Windows-Freigabe sind alle unter /media eingebundenen Laufwerke im lokalen Netz ohne Passwort zugänglich gemacht. Die Freigabe ist nur lesbar, so dass keine Gefahr von Datenverlusten besteht. Aus technischen Gründen können einige Ordner nicht als ganzes kopiert werden, kopieren Sie in diesem Fall Unterordner oder Ordnerinhalte. Bitte verwenden Sie die Freigabe nur in vertrauenswürdigen Umgebungen.";"When activated, all drives mounted under /media can be accessed from the local network without password. Access is read-only , so there is no risk of accidentially destroying data. For technical reasons some folders might not be copied as a whold, in this case copy subfolders or files. Please activate this share only in trustworthy environments.";"";
"statusoff";"Die Windows-Freigabe ist derzeit nicht aktiv.";"Windows shares are currently inactive.";"";
"statuson";"Die Windows-Freigabe ist derzeit aktiv. Sie können über die IP-Adresse(n) dieses Rechners (IPADDRESSES) oder den Hostnamen ""NOTFALL-DVD"" zugreifen.";"Windows shares are activated. Use the IP addresses of this computer (IPADDRESSES) or the host name ""NOTFALL-DVD"" to access the shares.";"";
