"";"de";"en";"pl";
"head";"VNC Fernzugriff aktivieren";"Activate VNC Remote Access";"";
"step1";"Verbindungseinstellungen";"Connection Settings";"";
"step2";"Status, Start und Stop";"Current State, Start and Stop";"";
"local";"Eingehende Verbindungen auf Port 5900 erlauben - Passwort ist optional";"Allow incoming connections on port 5900 - specify an optional password below";"";
"reverse";"Verbindung mit einem Viewer im ""Listening Mode""";"Connect to a viewer in ""Listening Mode""";"";
"vncnotactive";"Die VNC-Freigabe ist derzeit nicht aktiv. Klicken Sie auf ""Desktop freigeben"", um die Freigabe zu aktivieren.";"VNC access is not active. Click on ""Share desktop"" to allow access to your workspace.";"";
"vncactive";"Die VNC-Freigabe ist derzeit aktiv. Klicken Sie auf ""Desktopfreigabe aufheben"", um den Zugriff zu deaktivieren.";"VNC access is currently active. Click on ""Stop desktop sharing"" to disallow access to your workspace.";"";
"startvnc";"Desktop freigeben";"Share desktop";"";
"stopvnc";"Desktopfreigabe aufheben";"Stop desktop sharing";"";
"password";"Bitte Verbindungspasswort eingeben";"Please enter VNC password";"";
"hostport";"Bitte Hostname eingeben";"Please enter hostname";"";
"nospacebody";"Bitte gültigen Hostnamen eingeben - Leerzeichen und Sonderzeichen sind nicht erlaubt!";"Please enter a valid hostname. Spaces in the hostname are not allowed!";"";
"nospacehead";"Gültigen Hostnamen eingeben";"Enter a valid hostname";"";
"nopwdbody";"Wollen Sie wirklich Verbindungen ohne Passworteingabe zulassen? Außerhalb kleiner, vertrauenswürdiger Netze stellt dies ein Sicherheitsrisiko dar.";"Do you really want to continue without password? Outside of small, trustworthy environments this might pose a security risk!";"";
"nopwdhead";"Ohne Passwort fortfahren?";"Continue without password?";"";
"head";"VNC Fernzugriff aktivieren";"Activate VNC Remote Access";"";
"step1";"Verbindungseinstellungen";"Connection Settings";"";
"step2";"Status, Start und Stop";"Current State, Start and Stop";"";
"local";"Eingehende Verbindungen auf Port 5900 erlauben - Passwort ist optional";"Allow incoming connections on port 5900 - specify an optional password below";"";
"reverse";"Verbindung mit einem Viewer im ""Listening Mode""";"Connect to a viewer in ""Listening Mode""";"";
"vncnotactive";"Die VNC-Freigabe ist derzeit nicht aktiv. Klicken Sie auf ""Desktop freigeben"", um die Freigabe zu aktivieren.";"VNC access is not active. Click on ""Share desktop"" to allow access to your workspace.";"";
"vncactive";"Die VNC-Freigabe ist derzeit aktiv. Klicken Sie auf ""Desktopfreigabe aufheben"", um den Zugriff zu deaktivieren.";"VNC access is currently active. Click on ""Stop desktop sharing"" to disallow access to your workspace.";"";
"startvnc";"Desktop freigeben";"Share desktop";"";
"stopvnc";"Desktopfreigabe aufheben";"Stop desktop sharing";"";
"password";"Bitte Verbindungspasswort eingeben";"Please enter VNC password";"";
"hostport";"Bitte Hostname eingeben";"Please enter hostname";"";
"nospacebody";"Bitte gültigen Hostnamen eingeben - Leerzeichen und Sonderzeichen sind nicht erlaubt!";"Please enter a valid hostname. Spaces in the hostname are not allowed!";"";
"nospacehead";"Gültigen Hostnamen eingeben";"Enter a valid hostname";"";
"nopwdbody";"Wollen Sie wirklich Verbindungen ohne Passworteingabe zulassen? Außerhalb kleiner, vertrauenswürdiger Netze stellt dies ein Sicherheitsrisiko dar.";"Do you really want to continue without password? Outside of small, trustworthy environments this might pose a security risk!";"";
"nopwdhead";"Ohne Passwort fortfahren?";"Continue without password?";"";
