"";"en";"de";
"title";"Search Cache directories";"Cache-Verzeichnisse finden";
"frame_explanation";"Search and open cache directories";"Cache-Verzeichnisse finden und öffnen";
"text_explanation";"This tool finds and opens cache directories of various programs. Please consult the manual for further reference.";"Dieses Programm sucht und öffnet die Cache-Verzeichnisse verschiedener Programme. Bitte werfen Sie einen Blick ins Handbuch um zu erfahren, wie die dort vorhandenen Daten zu analysieren sind.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
"title";"Search Cache directories";"Cache-Verzeichnisse finden";
"frame_explanation";"Search and open cache directories";"Cache-Verzeichnisse finden und öffnen";
"text_explanation";"This tool finds and opens cache directories of various programs. Please consult the manual for further reference.";"Dieses Programm sucht und öffnet die Cache-Verzeichnisse verschiedener Programme. Bitte werfen Sie einen Blick ins Handbuch um zu erfahren, wie die dort vorhandenen Daten zu analysieren sind.";
"frame_directory";"Search directory";"Zu untersuchendes Verzeichnis";
"go";"Start searching";"Suche starten";
"workdir";"Choose start directory";"Verzeichnis wählen";
"frame_progress";"Progress";"Fortschritt";
"click_start";"Please click ""Start searching""";"Klicken Sie auf ""Suche starten""";
"done";"Done";"Suche abgeschlossen";
"running";"Searching...";"Suche läuft";
"frame_output";"Output directory";"Ausgabe-Verzeichnis";
