"";"en";"de";"pl";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Drive to clone (source)";
"frame_target";"Target directory";"Zielverzeichnis";"Target directory";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Source mounted";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";
"frame_progress";"Progress of conversion";"Fortschritt der Umwandlung";"Progress of conversion";
"go";"Start";"Starten";"Start";
"reread";"Reread";"Neu einlesen";"Reread";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Klonen zu beginnen";"Click ""Start"" to begin";
"conversion_running";"Conversion running - PERCENTAGE% done";"Umwandlung läuft - ca. PERCENTAGE% abgeschlossen";"Conversion running - PERCENTAGE% done";
"cancel";"Cancel";"Abbrechen";"Cancel";
"failed";"Conversion failed";"Umwandlung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Umwandlung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Umwandlung fehlgeschlagen";"Conversion failed";
"frame_format";"Format of the image file";"Format der Image-Datei";"Format of the image file";
"success";"Conversion successful";"Umwandlung erfolgreich";"Conversion successful";
"success_long";"The conversion was successful. You can yuse the disk image with your virtual machine now.";"Die Umwandlung war erfolgreich. Sie können das Festplattenimage nun mit Ihrer virtuellen Maschine verwenden.";"The conversion was successful. You can yuse the disk image with your virtual machine now.";
"success_pgbar";"Conversion successful";"Umwandlung erfolgreich";"Conversion successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"targetdir";"Target directory";"Zielverzeichnis";"Target directory";
"title";"Convert disk to VM image";"Festplatte in Image für VM umwandeln";"Convert disk to VM image";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Drive to clone (source)";
"frame_target";"Target directory";"Zielverzeichnis";"Target directory";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Source mounted";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";
"frame_progress";"Progress of conversion";"Fortschritt der Umwandlung";"Progress of conversion";
"go";"Start";"Starten";"Start";
"reread";"Reread";"Neu einlesen";"Reread";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Klonen zu beginnen";"Click ""Start"" to begin";
"conversion_running";"Conversion running - PERCENTAGE% done";"Umwandlung läuft - ca. PERCENTAGE% abgeschlossen";"Conversion running - PERCENTAGE% done";
"cancel";"Cancel";"Abbrechen";"Cancel";
"failed";"Conversion failed";"Umwandlung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Umwandlung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Umwandlung fehlgeschlagen";"Conversion failed";
"frame_format";"Format of the image file";"Format der Image-Datei";"Format of the image file";
"success";"Conversion successful";"Umwandlung erfolgreich";"Conversion successful";
"success_long";"The conversion was successful. You can yuse the disk image with your virtual machine now.";"Die Umwandlung war erfolgreich. Sie können das Festplattenimage nun mit Ihrer virtuellen Maschine verwenden.";"The conversion was successful. You can yuse the disk image with your virtual machine now.";
"success_pgbar";"Conversion successful";"Umwandlung erfolgreich";"Conversion successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"targetdir";"Target directory";"Zielverzeichnis";"Target directory";
"title";"Convert disk to VM image";"Festplatte in Image für VM umwandeln";"Convert disk to VM image";
"frame_source";"Drive to clone (source)";"Quelllaufwerk";"Drive to clone (source)";
"frame_target";"Target directory";"Zielverzeichnis";"Target directory";
"source_mounted_title";"Source mounted";"Quelllaufwerk eingebunden";"Source mounted";
"source_mounted_text";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";"Das Quelllaufwerk befindet sich im Zugriff. Der nur-lesbare Zugriff stellt kein Problem dar, doch stellen Sie sicher, dass kein Schreibzugriff erfolgt. Wollen Sie wirklich mit dem Klonen beginnen?";"The source device is still mounted. Read-only mounts are no problem, but make sure that the source is not mounted read-write. Do you really want to continue?";
"frame_progress";"Progress of conversion";"Fortschritt der Umwandlung";"Progress of conversion";
"go";"Start";"Starten";"Start";
"reread";"Reread";"Neu einlesen";"Reread";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Klonen zu beginnen";"Click ""Start"" to begin";
"conversion_running";"Conversion running - PERCENTAGE% done";"Umwandlung läuft - ca. PERCENTAGE% abgeschlossen";"Conversion running - PERCENTAGE% done";
"cancel";"Cancel";"Abbrechen";"Cancel";
"failed";"Conversion failed";"Umwandlung fehlgeschlagen";"Conversion failed";
"failed_long";"The conversion failed. A possible cause might be a too small target directory.";"Die Umwandlung ist fehlgeschlagen. Ein möglicher Grund ist nicht ausreichender Platz im Zielordner.";"The conversion failed. A possible cause might be a too small target directory.";
"failed_pgbar";"Conversion failed";"Umwandlung fehlgeschlagen";"Conversion failed";
"frame_format";"Format of the image file";"Format der Image-Datei";"Format of the image file";
"success";"Conversion successful";"Umwandlung erfolgreich";"Conversion successful";
"success_long";"The conversion was successful. You can yuse the disk image with your virtual machine now.";"Die Umwandlung war erfolgreich. Sie können das Festplattenimage nun mit Ihrer virtuellen Maschine verwenden.";"The conversion was successful. You can yuse the disk image with your virtual machine now.";
"success_pgbar";"Conversion successful";"Umwandlung erfolgreich";"Conversion successful";
"target_exists";"Target file exists";"Zieldatei existiert bereits";"Target file exists";
"target_exists_long";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";"Die Zieldatei FILENAME existiert bereits, bitte löschen Sie die Datei oder wählen Sie einen anderen Zielordner.";"The selected target file FILENAME already exists, please delete the file or select a different target folder.";
"target_too_small";"Target too small";"Zu wenig Platz im Zielordner";"Target too small";
"target_too_small_long";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";"Je nach Zahl der belegten Blöcke des Quellaufwerkes ist im Zielordner möglicherweise nicht genügend Platz. Dennoch versuchen?";"Depending on the occupied space of the source drive, the target directory might  have not enough space. Try anyway?";
"targetdir";"Target directory";"Zielverzeichnis";"Target directory";
"title";"Convert disk to VM image";"Festplatte in Image für VM umwandeln";"Convert disk to VM image";
