"";"en";"de";
"title";"VSS Mount";"VSS Mount";
"frame_explanation";"Mount VShadow Snapshots";"VShadow Snapshots einbinden";
"text_explanation";"This tool mounts VShadow Snapshots on NTFS file systems. This allows for file system acces as if they were normal NTFS media.";"Dieses Programm bindet VShadow Snapshots von NTFS-Dateisystemen ein. Der Zugriff kann dann wie auf ein normales Laufwerk erfolgen.";
"frame_progress";"Mount and umount";"Einbinden und lösen";
"mount";"Mount all";"Alle einbinden";
"umount";"Unmount all";"Alle lösen";
"title";"VSS Mount";"VSS Mount";
"frame_explanation";"Mount VShadow Snapshots";"VShadow Snapshots einbinden";
"text_explanation";"This tool mounts VShadow Snapshots on NTFS file systems. This allows for file system acces as if they were normal NTFS media.";"Dieses Programm bindet VShadow Snapshots von NTFS-Dateisystemen ein. Der Zugriff kann dann wie auf ein normales Laufwerk erfolgen.";
"frame_progress";"Mount and umount";"Einbinden und lösen";
"mount";"Mount all";"Alle einbinden";
"umount";"Unmount all";"Alle lösen";
